dia,hora,conteo_in,conteo_out
1,0.76847,35,24
1,0.7734,31,22
1,0.77833,29,25
1,0.78325,32,25
1,0.78818,30,30
1,0.7931,26,22
1,0.79803,30,27
1,0.80296,28,31
1,0.80788,29,27
1,0.81281,24,28
1,0.81773,38,30
1,0.82266,38,30
1,0.82759,31,23
1,0.83251,29,25
1,0.83744,23,30
1,0.84236,29,27
1,0.84729,24,16
1,0.85222,27,18
1,0.85714,29,18
1,0.86207,31,18
1,0.867,18,16
1,0.87192,16,26
1,0.87685,19,22
1,0.88177,21,19
1,0.8867,15,7
1,0.89163,19,8
1,0.89655,20,3
1,0.90148,15,8
1,0.9064,9,11
1,0.91133,14,11
1,0.91626,9,6
1,0.92118,10,3
1,0.92611,17,11
1,0.93103,19,14
1,0.93596,10,17
1,0.94089,7,10
1,0.94581,15,12
1,0.95074,10,13
1,0.95567,4,13
1,0.96059,8,6
1,0.96552,5,4
1,0.97044,4,3
1,0.97537,11,14
1,0.9803,9,10
1,0.98522,11,1
1,0.99015,4,1
1,0.99507,6,2
1,1.0,3,1
2,0.0,41,34
2,0.00493,45,32
2,0.00985,44,38
2,0.01478,39,39
2,0.0197,69,41
2,0.02463,67,41
2,0.02956,76,53
2,0.03448,75,56
2,0.03941,92,50
2,0.04433,92,50
2,0.04926,88,76
2,0.05419,91,74
2,0.05911,106,79
2,0.06404,104,82
2,0.06897,93,82
2,0.07389,93,80
2,0.07882,96,75
2,0.08374,94,75
2,0.08867,94,69
2,0.0936,96,66
2,0.09852,97,70
2,0.10345,98,77
2,0.10837,92,66
2,0.1133,88,61
2,0.11823,85,68
2,0.12315,85,69
2,0.12808,106,65
2,0.133,102,64
2,0.13793,105,56
2,0.14286,102,55
2,0.14778,72,54
2,0.15271,81,53
2,0.15764,81,65
2,0.16256,83,68
2,0.16749,59,54
2,0.17241,51,51
2,0.17734,54,39
2,0.18227,59,37
2,0.18719,52,41
2,0.19212,50,38
2,0.19704,53,42
2,0.20197,63,46
2,0.2069,62,36
2,0.21182,59,41
2,0.21675,57,41
2,0.22167,59,39
2,0.2266,53,31
2,0.23153,54,34
2,0.23645,51,33
2,0.24138,50,36
2,0.24631,58,44
2,0.25123,57,48
2,0.25616,66,49
2,0.26108,63,52
2,0.26601,45,45
2,0.27094,53,46
2,0.27586,51,36
2,0.28079,53,36
2,0.28571,61,56
2,0.29064,65,49
2,0.29557,63,49
2,0.30049,67,36
2,0.30542,60,41
2,0.31034,56,39
2,0.31527,68,68
2,0.3202,68,62
2,0.32512,68,48
2,0.33005,68,53
2,0.33498,77,62
2,0.3399,81,64
2,0.34483,69,52
2,0.34975,62,56
2,0.35468,66,61
2,0.35961,60,57
2,0.36453,65,54
2,0.36946,63,58
2,0.37438,68,52
2,0.37931,67,52
2,0.38424,66,54
2,0.38916,65,50
2,0.39409,62,65
2,0.39901,63,66
2,0.40394,84,97
2,0.40887,84,97
2,0.41379,90,78
2,0.41872,86,85
2,0.42365,98,99
2,0.42857,97,98
2,0.4335,86,92
2,0.43842,81,96
2,0.44335,92,92
2,0.44828,87,97
2,0.4532,98,94
2,0.45813,96,92
2,0.46305,71,87
2,0.46798,73,85
2,0.47291,85,88
2,0.47783,90,85
2,0.48276,99,87
2,0.48768,105,90
2,0.49261,78,76
2,0.49754,76,77
2,0.50246,73,70
2,0.50739,71,64
2,0.51232,52,50
2,0.51724,59,53
2,0.52217,57,56
2,0.52709,55,53
2,0.53202,53,42
2,0.53695,53,46
2,0.54187,38,27
2,0.5468,37,26
2,0.55172,49,44
2,0.55665,47,47
2,0.56158,57,38
2,0.5665,56,38
2,0.57143,50,32
2,0.57635,46,33
2,0.58128,55,39
2,0.58621,57,38
2,0.59113,48,46
2,0.59606,50,43
2,0.60099,50,47
2,0.60591,52,41
2,0.61084,47,30
2,0.61576,43,28
2,0.62069,52,43
2,0.62562,53,48
2,0.63054,54,44
2,0.63547,58,47
2,0.64039,51,32
2,0.64532,54,36
2,0.65025,51,36
2,0.65517,56,42
2,0.6601,47,42
2,0.66502,44,43
2,0.66995,48,45
2,0.67488,46,44
2,0.6798,36,36
2,0.68473,37,30
2,0.68966,40,32
2,0.69458,38,34
2,0.69951,42,29
2,0.70443,43,28
2,0.70936,34,25
2,0.71429,41,31
2,0.71921,37,30
2,0.72414,37,27
2,0.72906,35,23
2,0.73399,40,25
2,0.73892,60,31
2,0.74384,61,35
2,0.74877,41,18
2,0.75369,51,24
2,0.75862,53,25
2,0.76355,47,30
2,0.76847,33,26
2,0.7734,33,27
2,0.77833,37,26
2,0.78325,36,23
2,0.78818,30,16
2,0.7931,23,20
2,0.79803,33,31
2,0.80296,37,31
2,0.80788,30,23
2,0.81281,29,21
2,0.81773,39,23
2,0.82266,35,23
2,0.82759,36,23
2,0.83251,34,23
2,0.83744,27,25
2,0.84236,23,24
2,0.84729,20,21
2,0.85222,25,16
2,0.85714,27,15
2,0.86207,27,19
2,0.867,16,21
2,0.87192,18,18
2,0.87685,26,13
2,0.88177,24,12
2,0.8867,17,12
2,0.89163,15,11
2,0.89655,14,11
2,0.90148,11,6
2,0.9064,13,4
2,0.91133,11,9
2,0.91626,11,11
2,0.92118,13,7
2,0.92611,13,11
2,0.93103,17,9
2,0.93596,11,10
2,0.94089,15,10
2,0.94581,10,10
2,0.95074,8,7
2,0.95567,4,9
2,0.96059,4,13
2,0.96552,8,3
2,0.97044,4,5
2,0.97537,7,7
2,0.9803,9,8
2,0.98522,12,5
2,0.99015,7,1
